"year","month","prec.days","prec.max","prec.gt.12","prec.gt.25","prec.gt.50","prec.gt.76","prec.gt.101","tmin","tmax","rads","relh","prec","wspd","VPD","es","ea","RET"
2010,3,6,6.6,0,0,0,0,0,-2.48064516129032,10.1032258064516,181.524948811033,59.0313059181599,18.1,4.19816525806452,0.388304948202106,0.933119109714975,0.544814161512869,72.2624985845273
2010,4,11,24.9,3,0,0,0,0,4.78333333333333,17.65,244.713089763187,60.3797333947579,92.7,4.4629959,0.607702214705213,1.50904883779058,0.901346623085364,112.404714703753
2010,5,9,22.6,4,0,0,0,0,9.4741935483871,21.5677419354839,284.740984465127,63.7358073447484,96.3,3.84463412903226,0.765397543026413,2.01911635240658,1.25371880938016,144.327959342271
2010,6,14,47.5,8,2,0,0,0,14.87,25.72,305.387404830709,67.8592318640095,212.8,3.34832058709677,0.820871815489771,2.53960008986725,1.71872827437748,156.993095813201
2010,7,13,91.7,5,2,1,1,0,18.7096774193548,28.7258064516129,292.859051340357,70.7778441047217,202.8,3.01887193548387,0.897423390183709,3.07852933871159,2.18110594852788,165.993574334626
2010,8,5,37.3,4,2,0,0,0,18.0096774193548,28.3064516129032,252.544834528616,69.9488689535704,99.6,2.87700883870968,0.895307063805427,3.00367814437481,2.10837108056938,145.509764711672
2010,9,11,21.6,2,0,0,0,0,10.46,21.8133333333333,190.858229160063,65.4942555294134,67.4,3.161411,0.68129604548456,1.99541274631238,1.31411670082782,99.5525774742568
2010,10,4,23.6,3,0,0,0,0,3.88709677419355,18.5677419354839,144.496123011113,55.5588736076079,58.4,3.597275,0.70396808555994,1.55305154143845,0.849083455878514,88.630239468419
2010,11,11,7.9,0,0,0,0,0,-1.76333333333333,8.96,91.3996477653658,64.5297011632959,27.9,4.02529627204301,0.332737336026052,0.893511162329715,0.560773826303663,44.6525041539558
2010,12,10,16.3,1,0,0,0,0,-10.8387096774194,-2.91290322580645,66.8042342824306,70.503956454634,37.8,3.83260190322581,0.112251820461058,0.406276079996587,0.29402425953553,18.2735620893465
