date,DToPcpn,DAvSol,DAvTAir,DMxTAir,DMnTAir,DAvRHum,DAvWind
1985-10-02,0.0,189.6,7.92,16.46,-0.97,75.62,2.77
1985-10-03,0.0,125.3,11.65,18.79,4.56,78.03,3.34
1985-10-04,0.08,80.8,10.36,13.76,7.28,91.39,5.64
1985-10-05,0.0,95.3,7.59,10.78,1.98,84.31,6.82
1985-10-06,0.0,144.7,6.31,13.3,0.56,82.58,2.53
1985-10-07,0.0,124.7,10.93,18.56,0.17,79.41,3.31
1985-10-08,0.17,67.82,14.68,18.07,9.34,85.05,5.54
1985-10-09,0.29,20.29,4.91,9.3,2.86,96.08,2.92
1985-10-10,0.0,121.3,5.48,11.58,0.33,89.93,2.5
1985-10-11,0.0,126.1,7.85,14.05,0.06,88.05,2.56
1985-10-12,1.5,40.95,14.75,20.25,10.45,94.03,3.12
1985-10-13,0.08,159.8,12.46,19.51,5.45,86.49,1.9
1985-10-14,0.04,61.99,11.33,15.6,8.46,87.05,1.5
1985-10-15,0.04,125.0,7.92,13.84,0.44,84.15,3.82
1985-10-16,0.0,157.7,5.82,12.03,-1.39,73.13,2.14
1985-10-17,0.0,59.33,11.88,17.54,4.21,81.4,2.98
1985-10-18,0.92,15.01,12.69,14.63,9.42,94.58,2.17
1985-10-19,0.04,66.68,11.9,17.02,8.94,83.03,2.95
1985-10-20,0.0,41.52,9.96,12.15,7.01,90.33,3.67
1985-10-21,0.04,49.17,10.54,13.8,6.74,93.66,1.55
1985-10-22,0.0,57.11,12.91,18.79,7.44,93.33,2.81
1985-10-23,0.63,17.29,13.98,15.31,12.72,94.33,4.2
1985-10-24,0.0,127.3,12.15,17.9,2.02,70.48,3.54
1985-10-25,0.0,122.8,10.51,18.43,1.13,55.93,2.42
1985-10-26,0.0,115.4,14.38,21.85,6.47,66.02,3.61
1985-10-27,0.0,134.1,7.59,14.8,0.6,56.98,2.83
1985-10-28,0.0,107.8,5.09,11.79,-1.39,86.83,2.59
1985-10-29,0.0,72.0,6.04,12.32,-0.29,87.29,1.68
1985-10-30,0.0,117.6,6.35,13.3,-0.09,89.97,2.81
1985-10-31,1.25,70.0,6.96,12.52,1.75,94.16,3.65
1985-11-01,2.08,10.54,11.11,13.71,8.31,95.2,4.39
1985-11-02,0.0,37.84,6.3,8.31,4.21,90.85,6.0
1985-11-03,0.0,40.28,3.78,5.06,1.33,92.66,3.96
1985-11-04,0.0,82.7,3.45,8.78,-1.78,85.78,4.35
1985-11-05,0.0,27.59,2.15,5.34,-3.12,97.03,2.16
1985-11-06,0.42,14.09,5.03,5.88,3.4,95.75,3.69
1985-11-07,0.0,109.0,4.21,9.46,0.52,82.87,3.09
1985-11-08,0.0,-0.52,0.31,1.63,-1.47,86.56,2.98
1985-11-09,0.04,27.65,0.14,1.86,-2.43,97.55,6.38
1985-11-10,0.0,52.53,-2.46,-0.71,-4.59,89.52,6.55
1985-11-11,0.13,61.13,-1.71,1.59,-6.91,93.35,3.82
1985-11-12,0.33,27.16,2.8,5.88,1.59,97.25,1.15
1985-11-13,0.13,45.53,2.94,6.23,1.98,95.57,2.77
1985-11-14,0.0,27.55,1.26,2.86,-1.97,93.75,4.12
1985-11-15,0.08,37.07,2.13,4.25,-1.32,93.88,4.62
1985-11-16,0.58,17.37,3.81,5.88,2.17,95.19,5.65
1985-11-17,0.29,90.5,4.54,9.5,1.36,91.24,3.12
1985-11-18,0.58,8.13,11.92,15.14,7.71,95.32,3.82
1985-11-19,0.04,27.66,6.26,15.31,-5.8,93.28,4.53
1985-11-20,0.0,96.7,-8.16,-5.41,-10.6,71.76,6.14
1985-11-21,0.0,79.8,-7.59,-3.51,-12.4,80.68,3.01
1985-11-22,0.13,42.07,-3.02,1.33,-8.35,93.16,3.06
1985-11-23,0.0,36.23,-6.81,-1.78,-15.7,89.18,2.4
1985-11-24,0.0,53.37,-12.34,-9.0,-17.1,78.74,3.15
1985-11-25,0.0,20.29,-4.11,1.44,-10.4,89.53,4.38
1985-11-26,0.04,31.72,-0.39,1.79,-7.51,95.18,4.31
1985-11-27,0.0,46.61,-8.08,-4.05,-11.3,93.17,4.17
1985-11-28,0.04,38.74,-4.71,1.4,-14.3,94.25,3.25
1985-11-29,0.0,43.13,-12.71,-8.47,-16.0,84.74,4.4
1985-11-30,0.0,28.98,-2.9,1.02,-8.56,97.27,3.71
1985-12-01,0.0,21.67,-1.03,2.21,-6.83,96.3,6.94
1985-12-02,0.0,82.2,-12.43,-6.83,-19.9,82.66,8.01
1985-12-03,0.0,51.7,-15.37,-8.52,-23.8,83.59,2.1
